# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415327184;534356;263585200;99.80;409540;235794372;95374672;34.85;170733412;82914204
axle;60;1415327244;4496732;259622824;98.30;409068;233214108;94064496;34.37;168284848;81393284
axle;60;1415327304;3252236;260867320;98.77;396836;232772124;95855688;35.02;169910108;81044584
axle;60;1415327364;2640800;261478756;99.00;367064;233055208;96292240;35.18;170319736;81247176
axle;60;1415327424;5123852;258995704;98.06;367252;232472520;94379336;34.48;168768432;80332136
axle;60;1415327484;6816428;257303128;97.42;367436;231733960;93417648;34.13;167725748;79634052
axle;60;1415327544;5005984;259113572;98.10;367600;231749716;95234308;34.80;169609064;79597416
axle;60;1415327604;2906072;261213484;98.90;367776;232695400;96319740;35.19;170818572;80498700
axle;60;1415327664;2369012;261750544;99.10;367964;232220816;97402776;35.59;171826864;80030580
axle;60;1415327724;4926628;259192928;98.13;368168;231784320;95298220;34.82;169724880;79577896
axle;60;1415327784;4733596;259385960;98.21;368384;231997560;95200424;34.78;169900456;79599920
axle;60;1415327844;6669688;257449868;97.47;368584;232191052;93158436;34.04;167929364;79609424
axle;60;1415327904;5706712;258412844;97.84;368776;233028632;93333888;34.10;168210432;80287240
axle;60;1415327964;3183540;260936016;98.79;368916;233291420;95532904;34.91;170439456;80624896
axle;60;1415328024;4817012;259302544;98.18;369156;233652160;93536260;34.18;168343984;81041136
axle;60;1415328084;3578216;260541340;98.65;369364;233758360;94730276;34.61;169637636;81026136
axle;60;1415328144;1232216;262887340;99.53;368016;233070392;97726852;35.71;171183924;81830416
