Linux 3.11.0-17-generic (axle) 	07/11/14 	_x86_64_	(64 CPU)

02:25:24        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:26:24        all     15.65      0.00      3.02      0.17      0.00     81.16
02:27:24        all     15.64      0.00      3.22      0.08      0.00     81.07
02:28:24        all     15.79      0.00      3.17      0.06      0.00     80.98
02:29:24        all     15.80      0.00      3.15      0.09      0.00     80.96
02:30:24        all     16.35      0.00      2.52      0.02      0.00     81.11
02:31:24        all     16.71      0.00      2.28      0.03      0.00     80.98
02:32:24        all     17.01      0.00      1.98      0.02      0.00     80.99
02:33:24        all     15.41      0.00      3.38      0.02      0.00     81.19
02:34:24        all     16.50      0.00      2.39      0.05      0.00     81.05
02:35:24        all     16.73      0.00      2.32      0.02      0.00     80.92
02:36:24        all     16.93      0.00      2.01      0.08      0.00     80.98
02:37:24        all     16.38      0.00      2.46      0.02      0.00     81.14
02:38:24        all     15.36      0.00      2.05      0.00      0.00     82.59
02:39:24        all     15.72      0.00      1.73      0.01      0.00     82.55
02:40:24        all     15.03      0.00      2.43      0.03      0.00     82.51
02:41:24        all     15.11      0.00      2.35      0.00      0.00     82.54
02:42:24        all     14.67      0.00      2.72      0.06      0.00     82.55
